Program_Combo,ID,Count
"C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert",[1381284.0],1
"C25120C27 - Business Administration/Operations Analytics Certificate, C25590C37 - Information Technology/Business Intelligence Certificate",[2997167.0],1
"C25120C9 - Business Administration /Organizational Leadership Cert, C25800C4 - Accounting and Finance/Small Business Accounting Certificate",[2939173.0],1
"C25120H1 - Business Administration, C25370H2 - Office Management/Legal Office Foundations Certificate",[2997647.0],1
"C25120H1 - Business Administration, C25450H1 - Simulation and Game Development",[2984043.0],1
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C20 - Business Administration /Nonprofit & Commun Leadership Cert",[596804.0],1
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C21 - Business Administration /Govern Procure & Contracting Cert",[2567396.0],1
"C25120C10 - Business Administration /Business Foundations Certificate, C55490 - Elementary Education Residency Licensure",[329915.0],1
"C25120C11 - Business Administration/Small Business Operations Cert, C25120C12 - Business Administration /Entrepreneurship Certificate, C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25120C15 - Business Administration /Total Quality Management Cert, C25120C16 - Business Administration /Project Leadership Certificate, C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C18 - Business Administration /Recruitment & Staffing Spec Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C20 - Business Administration /Nonprofit & Commun Leadership Cert, C25120C21 - Business Administration /Govern Procure & Contracting Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C23 - Business Administration/Operations Leadership Certificate, C25120C24 - Business Administration/Project Management Certificate, C25120C25 - Business Administration/Global Human Resources Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C25800C1 - Accounting and Finance/Payroll Accounting Certificate, C25800C2 - Accounting and Finance/Tax Preparer Certificate, C25800C3 - Accounting and Finance/Computerized Accounting Certificate, C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C25800C5 - Accounting and Finance/Cost/Managerial Account Certificate",[2823870.0],1
"C25120C11 - Business Administration/Small Business Operations Cert, C25120C16 - Business Administration /Project Leadership Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",[920484.0],1
